Input URI,Classified Exercise,Distance,Processing Time
gs://strengthlog-videos/user_videos_embeddings/05735480-87cb-406b-be02-9bb52d065d12.json,smith-machine-bench-press,0.67,0.42
gs://strengthlog-videos/user_videos_embeddings/0669c5d8-4d95-4690-96d8-e1fff05a7412.json,assisted-chin-up,1.0,0.46
gs://strengthlog-videos/user_videos_embeddings/06eb2a8f-5b9e-48ae-b18d-4aad12de0a19.mov.json,seated-smith-machine-shoulder-press,0.62,0.45
gs://strengthlog-videos/user_videos_embeddings/0c306564-26e8-45c3-86c1-3009b191a3ea.mov.json,dumbbell-shoulder-press,0.7,0.72
gs://strengthlog-videos/user_videos_embeddings/0cc0a3a6-d861-49f0-9b5e-214d1825be21.json,push-up,1.0,0.4
gs://strengthlog-videos/user_videos_embeddings/0ed73cd4-f7ab-4f3c-a9fe-924ce4020a88.json,power-clean,0.67,0.41
gs://strengthlog-videos/user_videos_embeddings/1001207b-6474-4ca7-819e-cf4ba1adfc20.json,smith-machine-bench-press,0.81,0.44
gs://strengthlog-videos/user_videos_embeddings/12758ed3-439e-487b-8da4-f144a44b921d.json,pendlay-row,0.79,0.43
gs://strengthlog-videos/user_videos_embeddings/13f631a8-10f4-42a9-a65e-165fb94c3079.json,push-up,1.0,0.5
gs://strengthlog-videos/user_videos_embeddings/18045d4e-240f-4162-b1c4-988f4eb3d761.mov.json,band-assisted-bench-press,0.6,0.53
gs://strengthlog-videos/user_videos_embeddings/2177d225-3395-4040-ba59-56ce17441cec.mov.json,pendlay-row,0.82,0.38
gs://strengthlog-videos/user_videos_embeddings/21e33707-c614-4de0-a2b3-4135c898fe95.json,clean,0.51,0.49
gs://strengthlog-videos/user_videos_embeddings/2367d13a-ab15-4d70-8b53-82a740826cf2.mov.json,dumbbell-deadlift,0.69,0.38
gs://strengthlog-videos/user_videos_embeddings/25017fab-e411-4b44-8518-fc83a67054da.json,bulgarian-split-squat,0.75,0.36
gs://strengthlog-videos/user_videos_embeddings/2a0dc17f-5d1a-4a80-bf8f-0a448709c84d.json,close-grip-push-up,0.78,0.51
gs://strengthlog-videos/user_videos_embeddings/2c7a3440-39dc-45d1-a438-3dd1745ec085.json,spider-curl,0.76,0.39
gs://strengthlog-videos/user_videos_embeddings/2e5d0a26-1ff9-47a1-b9b9-8e60ea8c851f.mov.json,bench-press-against-band,0.74,0.47
gs://strengthlog-videos/user_videos_embeddings/2ec3ab09-148b-41df-80ab-6cb356367d92.json,smith-machine-bench-press,0.69,0.35
gs://strengthlog-videos/user_videos_embeddings/2fc89f8e-fd90-4888-a912-51af638434a2.mov.json,reverse-hyperextension,0.75,0.5
gs://strengthlog-videos/user_videos_embeddings/3045b4d8-297f-4e5a-bd3b-4d0545db5aff.json,seated-dumbbell-shoulder-press,0.79,0.37
gs://strengthlog-videos/user_videos_embeddings/39d8dd83-1e62-4f24-b6fd-9c36f711a6d9.mov.json,hanging-leg-raise,0.8,0.44
gs://strengthlog-videos/user_videos_embeddings/39e7fd47-ca18-400b-804d-7f8901f114a6.mov.json,hip-thrust,0.73,0.4
gs://strengthlog-videos/user_videos_embeddings/3a579acd-3a60-4851-b613-08b0b17475b2.json,push-up,1.0,0.37
gs://strengthlog-videos/user_videos_embeddings/3b4e80ed-8863-4a86-9c6b-a4a2fc213171.mov.json,leg-press,0.72,0.39
gs://strengthlog-videos/user_videos_embeddings/3b9f0415-092f-41cc-af7a-eccef8eb7ceb.mov.json,leg-press,0.77,0.35
gs://strengthlog-videos/user_videos_embeddings/3ec2289c-a613-4127-a187-97e4ecb0404b.json,power-clean,0.64,0.48
gs://strengthlog-videos/user_videos_embeddings/3f34b044-7ccd-4623-8896-861908d840b4.json,assisted-chin-up,0.74,0.47
gs://strengthlog-videos/user_videos_embeddings/46a1254d-be40-4701-a76d-b58deefa736c.json,smith-machine-bench-press,0.8,0.41
gs://strengthlog-videos/user_videos_embeddings/491a5175-62b8-42d1-8a7a-eba2513db49e.mov.json,pendlay-row,0.74,0.44
gs://strengthlog-videos/user_videos_embeddings/4aa43189-9314-4126-bfef-5c194cac028b.json,hip-adduction-machine,0.67,0.38
gs://strengthlog-videos/user_videos_embeddings/4ce2c4f2-0f62-4eb1-a4dc-532d44b3b5f9.json,pendlay-row,0.78,0.41
gs://strengthlog-videos/user_videos_embeddings/4d67526b-7223-4e64-8557-52f5cbcf1fd1.json,leg-press,0.78,0.45
gs://strengthlog-videos/user_videos_embeddings/4f4b2d62-6a66-43a7-bd1f-75ff3fd0d61c.json,smith-machine-bench-press,0.72,0.41
